1,Dustin Hopkins (CLE),28,31,90.3,58,0,7,5,9,7,15,16,11,122.0,11.1,63.6%
2,Jason Myers (SEA),25,31,80.6,55,0,3,10,8,4,20,20,11,111.0,10.1,58.0%
3,Brandon McManus (JAC),23,26,88.5,56,0,2,7,9,5,23,23,11,111.0,10.1,43.2%
4,Brandon Aubrey (DAL),22,22,100.0,58,0,9,7,1,5,33,36,11,110.0,10.0,89.3%
5,Blake Grupe (NO),24,30,80.0,55,0,7,5,7,5,19,19,11,108.0,9.8,4.7%
6,Justin Tucker (BAL),21,26,80.8,50,0,6,6,8,1,35,36,12,108.0,9.0,98.9%
7,Jake Elliott (PHI),19,21,90.5,61,0,5,5,3,6,33,34,11,105.0,9.5,80.5%
8,Matt Gay (IND),19,23,82.6,57,0,5,3,4,7,28,28,11,103.0,9.4,34.8%
9,Tyler Bass (BUF),18,23,78.3,54,0,1,9,4,4,34,35,12,100.0,8.3,84.8%
10,Wil Lutz (DEN),24,26,92.3,52,0,8,10,3,3,18,20,11,99.0,9.0,7.4%
11,Harrison Butker (KC),20,20,100.0,60,0,3,11,3,3,28,28,11,97.0,8.8,89.7%
12,Nick Folk (TEN),22,23,95.7,53,0,6,8,4,4,17,17,11,95.0,8.6,28.0%
13,Younghoe Koo (ATL),22,23,95.7,54,0,6,7,6,3,17,18,11,95.0,8.6,50.6%
14,Jake Moody (SF),17,20,85.0,57,0,6,7,2,2,37,37,11,94.0,8.5,43.8%
15,Chris Boswell (PIT),21,22,95.5,57,0,5,5,7,4,15,15,11,93.0,8.5,10.8%
16,Evan McPherson (CIN),17,21,81.0,56,0,4,1,6,6,23,23,11,92.0,8.4,82.2%
17,Cameron Dicker (LAC),17,18,94.4,55,0,5,5,3,4,30,30,11,92.0,8.4,65.3%
18,Cairo Santos (CHI),19,20,95.0,54,0,4,7,3,5,21,22,11,91.0,8.3,7.2%
19,Daniel Carlson (LV),20,24,83.3,54,0,8,4,7,1,18,18,12,87.0,7.3,54.6%
20,Joey Slye (WAS),17,21,81.0,61,0,2,6,6,3,23,25,12,86.0,7.2,1.2%
21,Matt Prater (ARI),19,22,86.4,62,0,3,5,5,6,11,12,12,85.0,7.1,13.5%
22,Chase McLaughlin (TB),19,21,90.5,57,0,7,7,1,4,19,19,11,85.0,7.7,3.2%
23,Greg Joseph (MIN),17,22,77.3,54,1,6,5,2,3,26,28,11,85.0,7.7,13.3%
24,Greg Zuerlein (NYJ),22,23,95.7,53,0,4,8,8,2,7,8,10,85.0,8.5,8.6%
25,Jason Sanders (MIA),11,14,78.6,54,0,2,2,5,2,42,43,11,84.0,7.6,35.3%
26,Eddy Pineiro (CAR),18,21,85.7,56,0,2,6,6,4,15,16,11,83.0,7.5,5.9%
27,Brett Maher (FA),17,23,73.9,54,0,3,4,7,3,12,13,7,76.0,10.9,3.0%
28,Riley Patterson (DET),13,15,86.7,52,0,1,9,2,1,31,32,11,74.0,6.7,54.1%
29,Ka'imi Fairbairn (HOU),18,19,94.7,50,0,6,9,2,1,14,14,8,72.0,9.0,2.5%
30,Anders Carlson (GB),15,19,78.9,52,0,5,7,1,2,20,23,11,70.0,6.4,4.1%
31,Chad Ryland (NE),12,18,66.7,51,0,3,3,5,1,14,14,11,57.0,5.2,0.4%
32,Graham Gano (NYG),11,17,64.7,57,0,2,3,3,3,8,8,8,50.0,6.3,12.6%
33,Lucas Havrisik (LAR),5,7,71.4,52,0,2,1,1,1,6,7,4,24.0,6.0,1.2%
34,Matt Ammendola (HOU),3,6,50.0,45,0,1,1,1,0,9,9,3,19.0,6.3,8.4%
35,Randy Bullock (NYG),3,3,100.0,42,0,0,1,2,0,7,7,4,18.0,4.5,0.1%
36,Austin Seibert (FA),1,1,100.0,34,0,0,1,0,0,1,1,1,4.0,4.0,0.0%
37,Matthew Wright (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
38,Michael Badgley (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
39,Cade York (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
40,Steven Weatherford (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
41,Piotr Czech (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
42,Ricky Schmit (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
43,Zac Derr (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
44,Parker Douglass (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
45,Jason Reda (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
46,Garrett Rivas (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
47,Carlos Martinez (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
48,Andrew Wellock (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
49,Mark Hickok (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
50,MacKenzie Hoambrecker (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
51,Andrew Jacas (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
52,Garrett Lindholm (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
53,Saverio Rocca (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
54,Kai Forbath (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0%
55,Clint Stitser (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,Connor Hughes (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
