1,Josh Allen (BUF),295,433,68.1,"3,214",7.4,24,13,15,62,342,9,3,12,299.9,25.0,100.0%
2,Jalen Hurts (PHI),242,358,67.6,"2,697",7.5,18,10,29,114,410,11,4,11,269.0,24.5,100.0%
3,Dak Prescott (DAL),259,370,70.0,"2,935",7.9,23,6,22,34,151,2,0,11,232.6,21.1,96.7%
4,Sam Howell (WAS),323,486,66.5,"3,339",6.9,18,13,55,36,222,3,2,12,230.8,19.2,74.8%
5,Justin Herbert (LAC),266,402,66.2,"2,826",7.0,20,6,25,48,233,3,1,11,229.4,20.9,98.8%
6,Lamar Jackson (BAL),228,334,68.3,"2,618",7.8,13,5,29,112,574,5,6,12,227.2,18.9,99.8%
7,C.J. Stroud (HOU),249,391,63.7,"3,266",8.4,19,5,26,29,132,3,4,11,226.9,20.6,93.9%
8,Patrick Mahomes II (KC),280,411,68.1,"2,917",7.1,21,9,14,53,305,0,2,11,218.1,19.8,100.0%
9,Jordan Love (GB),225,372,60.5,"2,599",7.0,19,10,22,37,221,2,0,11,208.1,18.9,50.0%
10,Brock Purdy (SF),214,305,70.2,"2,871",9.4,19,6,21,33,122,2,2,11,205.0,18.6,88.1%
11,Tua Tagovailoa (MIA),263,377,69.8,"3,177",8.4,22,10,17,27,40,0,4,11,201.1,18.3,96.8%
12,Jared Goff (DET),275,405,67.9,"3,075",7.6,18,8,20,26,23,2,3,11,199.2,18.1,83.5%
13,Joshua Dobbs (MIN),230,362,63.5,"2,216",6.1,12,6,23,70,389,6,7,11,197.4,17.9,69.7%
14,Russell Wilson (DEN),218,319,68.3,"2,199",6.9,20,4,33,53,266,1,4,11,188.6,17.1,56.7%
15,Trevor Lawrence (JAC),249,370,67.3,"2,746",7.4,12,7,25,51,240,3,4,11,186.9,17.0,90.3%
16,Baker Mayfield (TB),246,380,64.7,"2,588",6.8,17,7,26,44,153,0,2,11,179.7,16.3,52.0%
17,Kirk Cousins (MIN),216,311,69.5,"2,331",7.5,18,5,17,14,25,0,4,8,154.9,19.4,22.6%
18,Matthew Stafford (LAR),208,342,60.8,"2,489",7.3,13,9,20,16,71,0,0,10,153.8,15.4,39.6%
19,Joe Burrow (CIN),244,365,66.8,"2,309",6.3,15,6,24,31,88,0,1,10,153.2,15.3,52.5%
20,Geno Smith (SEA),236,361,65.4,"2,584",7.2,12,8,27,28,86,0,2,11,149.8,13.6,63.6%
21,Derek Carr (NO),244,372,65.6,"2,535",6.8,10,5,22,21,40,0,2,11,138.3,12.6,33.4%
22,Justin Fields (CHI),116,185,62.7,"1,370",7.4,12,6,26,65,341,1,2,7,132.9,19.0,88.8%
23,Desmond Ridder (ATL),174,267,65.2,"1,908",7.1,7,8,25,39,180,4,6,10,127.7,12.8,5.0%
24,Gardner Minshew II (IND),187,297,63.0,"1,972",6.6,8,7,17,20,50,3,4,10,118.9,11.9,11.7%
25,Mac Jones (NE),224,345,64.9,"2,120",6.1,10,12,22,26,96,0,2,11,118.3,10.8,5.9%
26,Bryce Young (CAR),216,350,61.7,"1,877",5.4,9,8,40,25,161,0,4,10,113.2,11.3,13.2%
27,Kenny Pickett (PIT),194,314,61.8,"2,000",6.4,6,4,23,39,51,1,0,11,111.1,10.1,15.9%
28,Zach Wilson (NYJ),190,321,59.2,"1,944",6.1,6,7,38,33,199,0,5,10,108.6,10.9,4.7%
29,Deshaun Watson (CLE),105,171,61.4,"1,115",6.5,7,4,17,26,142,1,2,6,90.9,15.2,30.6%
30,Anthony Richardson (IND),50,84,59.5,577,6.9,3,1,7,25,136,4,1,4,73.6,18.4,23.4%
31,Jimmy Garoppolo (LV),110,168,65.5,"1,205",7.2,7,9,13,20,39,0,0,6,73.1,12.2,3.5%
