1,Christian McCaffrey (SF),193,939,4.9,65,10,11,48,58,389,8.1,5,2,11,224.8,20.4,100.0%
2,Raheem Mostert (MIA),151,785,5.2,49,12,13,20,27,158,7.9,2,1,11,182.3,16.6,97.7%
3,Travis Etienne Jr. (JAC),194,726,3.7,35,7,7,36,48,312,8.7,1,0,11,155.8,14.2,99.9%
4,Brian Robinson Jr. (WAS),153,611,4.0,29,3,5,29,36,326,11.2,3,1,12,141.7,11.8,91.2%
5,Josh Jacobs (LV),220,771,3.5,63,8,6,35,52,280,8.0,0,1,12,139.1,11.6,99.8%
6,Gus Edwards (BAL),141,590,4.2,42,6,10,10,11,130,13.0,0,0,12,134.0,11.2,86.1%
7,Derrick Henry (TEN),176,739,4.2,63,6,6,21,26,167,8.0,0,0,11,130.7,11.9,99.8%
8,Kyren Williams (LAR),113,599,5.3,56,9,6,19,30,166,8.7,3,0,7,130.5,18.6,90.4%
9,David Montgomery (DET),133,648,4.9,75,8,9,8,13,88,11.0,0,1,8,127.6,16.0,96.1%
10,Bijan Robinson (ATL),141,703,5.0,38,5,3,32,49,240,7.5,3,2,11,126.3,11.5,99.7%
11,D'Andre Swift (PHI),161,770,4.8,43,10,4,34,39,201,5.9,1,1,11,125.1,11.4,97.7%
12,Isiah Pacheco (KC),158,669,4.2,48,6,5,30,34,196,6.5,1,0,11,122.5,11.1,96.3%
13,Kenneth Walker III (SEA),149,613,4.1,45,9,6,17,23,173,10.2,1,0,10,120.6,12.1,97.7%
14,Rachaad White (TB),156,559,3.6,38,2,4,43,46,364,8.5,1,1,11,120.3,10.9,95.2%
15,James Cook (BUF),153,731,4.8,42,8,1,33,39,308,9.3,2,1,12,119.9,10.0,94.7%
16,Zack Moss (IND),141,672,4.8,56,11,5,18,23,138,7.7,1,0,10,119.0,11.9,54.1%
17,Joe Mixon (CIN),161,621,3.9,22,2,4,33,40,232,7.0,1,0,11,115.3,10.5,98.8%
18,Saquon Barkley (NYG),165,697,4.2,36,10,1,28,40,168,6.0,4,1,9,114.5,12.7,100.0%
19,Jahmyr Gibbs (DET),109,566,5.2,35,7,5,41,52,278,6.8,0,0,9,114.4,12.7,98.8%
20,Tony Pollard (DAL),160,669,4.2,31,7,4,39,46,233,6.0,0,1,11,114.2,10.4,99.7%
21,Breece Hall (NYJ),124,569,4.6,83,12,2,38,49,320,8.4,2,0,11,112.9,10.3,98.1%
22,Jerome Ford (CLE),145,628,4.3,69,10,3,27,41,163,6.0,2,1,11,109.1,9.9,87.6%
23,Rhamondre Stevenson (NE),147,580,3.9,64,4,4,37,50,238,6.4,0,0,11,105.8,9.6,95.8%
24,Alvin Kamara (NO),119,457,3.8,17,0,2,54,61,355,6.6,1,0,8,105.2,13.2,98.7%
25,Austin Ekeler (LAC),112,428,3.8,55,7,4,29,44,286,9.9,1,3,8,95.4,11.9,100.0%
26,Najee Harris (PIT),143,598,4.2,25,7,4,19,27,116,6.1,0,0,11,95.4,8.7,93.0%
27,Jaylen Warren (PIT),93,542,5.8,74,7,3,37,45,247,6.7,0,1,11,94.9,8.6,82.1%
28,De'Von Achane (MIA),39,461,11.8,76,17,5,10,12,71,7.1,2,1,5,93.2,18.6,92.5%
29,Jonathan Taylor (IND),100,414,4.1,42,4,4,16,19,137,8.6,1,0,7,85.1,12.2,98.7%
30,Alexander Mattison (MIN),148,542,3.7,19,0,0,25,38,163,6.5,3,2,11,84.5,7.7,89.8%
31,Javonte Williams (DEN),140,538,3.8,21,1,0,26,34,131,5.0,2,0,10,80.9,8.1,91.3%
32,Devin Singletary (HOU),120,489,4.1,22,2,2,18,22,113,6.3,0,0,11,76.4,6.9,79.2%
33,Tyler Allgeier (ATL),135,466,3.5,22,1,3,12,17,83,6.9,0,0,11,74.9,6.8,51.0%
34,Chuba Hubbard (CAR),118,453,3.8,21,2,2,28,32,165,5.9,0,0,11,73.8,6.7,54.8%
35,D'Onta Foreman (CHI),92,381,4.1,22,1,4,9,13,55,6.1,1,0,7,73.6,10.5,46.4%
36,Kareem Hunt (CLE),89,286,3.2,16,0,6,9,12,59,6.6,0,0,9,70.5,7.8,66.1%
37,AJ Dillon (GB),131,448,3.4,40,3,1,19,24,184,9.7,0,0,11,69.2,6.3,67.8%
38,James Conner (ARI),104,526,5.1,35,6,2,14,18,36,2.6,0,0,8,68.2,8.5,92.1%
39,Ezekiel Elliott (NE),95,377,4.0,17,0,2,20,26,114,5.7,0,1,11,59.1,5.4,38.2%
40,Aaron Jones (GB),66,245,3.7,11,0,2,19,30,169,8.9,1,1,7,57.4,8.2,93.5%
41,Latavius Murray (BUF),70,280,4.0,29,2,3,16,20,98,6.1,0,0,12,55.8,4.7,19.2%
42,Jaleel McLaughlin (DEN),47,281,6.0,38,6,1,19,21,83,4.4,2,0,11,54.4,4.9,16.6%
43,Samaje Perine (DEN),36,173,4.8,24,1,1,33,37,337,10.2,0,2,11,53.0,4.8,23.0%
44,Justice Hill (BAL),66,290,4.4,27,1,3,16,18,73,4.6,0,1,11,52.3,4.8,17.0%
45,Antonio Gibson (WAS),36,158,4.4,13,0,0,33,39,285,8.6,2,2,11,52.3,4.8,47.2%
46,Joshua Kelley (LAC),88,360,4.1,49,4,2,5,8,17,3.4,0,0,11,49.7,4.5,13.2%
47,Rico Dowdle (DAL),58,246,4.2,21,1,1,10,11,69,6.9,2,0,11,49.5,4.5,10.6%
48,Tyjae Spears (TEN),50,254,5.1,23,2,1,29,40,179,6.2,0,0,11,49.3,4.5,36.8%
49,Dameon Pierce (HOU),114,341,3.0,16,0,1,10,13,88,8.8,0,0,8,48.9,6.1,69.4%
50,Keaton Mitchell (BAL),29,269,9.3,60,11,2,6,7,70,11.7,0,0,5,45.9,9.2,47.8%
51,Khalil Herbert (CHI),67,307,4.6,34,4,0,12,21,89,7.4,1,1,6,45.6,7.6,72.3%
52,Miles Sanders (CAR),97,302,3.1,15,0,1,21,33,120,5.7,0,2,10,44.2,4.4,55.0%
53,Royce Freeman (LAR),63,292,4.6,23,1,2,0,1,0,0,0,0,7,41.2,5.9,16.2%
54,Zach Charbonnet (SEA),67,308,4.6,21,2,0,23,27,103,4.5,0,0,10,41.1,4.1,71.5%
55,Kenneth Gainwell (PHI),57,202,3.5,23,1,2,18,22,88,4.9,0,1,10,41.0,4.1,21.3%
56,Jerick McKinnon (KC),13,30,2.3,10,0,0,19,26,155,8.2,3,0,10,36.5,3.7,28.2%
57,Cam Akers (MIN),60,167,2.8,19,0,2,11,12,70,6.4,0,0,7,35.7,5.1,23.5%
58,Roschon Johnson (CHI),44,197,4.5,29,1,1,19,23,91,4.8,0,0,9,34.8,3.9,22.5%
59,Darrell Henderson Jr. (FA),46,112,2.4,16,0,2,10,14,103,10.3,0,0,4,33.5,8.4,25.7%
60,Emari Demercado (ARI),52,210,4.0,18,0,1,12,16,64,5.3,0,0,9,33.4,3.7,8.5%
61,Ty Chandler (MIN),33,160,4.8,31,2,1,9,10,80,8.9,0,0,10,30.0,3.0,46.6%
62,Salvon Ahmed (MIA),22,61,2.8,10,0,1,16,23,88,5.5,1,0,8,26.9,3.4,1.4%
63,Matt Breida (NYG),50,125,2.5,8,0,1,14,17,74,5.3,0,0,12,25.9,2.2,3.0%
64,Tony Jones Jr. (ARI),26,95,3.7,19,0,2,7,10,37,5.3,0,0,7,25.2,3.6,0.3%
65,Pierre Strong Jr. (CLE),35,153,4.4,40,3,1,3,4,38,12.7,0,0,10,25.1,2.5,0.8%
66,Jordan Mason (SF),21,117,5.6,26,1,2,1,2,13,13.0,0,0,10,25.0,2.5,1.7%
67,Craig Reynolds (DET),41,179,4.4,19,0,1,5,5,47,9.4,0,2,9,24.6,2.7,2.5%
68,Clyde Edwards-Helaire (KC),38,134,3.5,16,0,1,6,7,36,6.0,0,0,10,23.0,2.3,3.9%
69,Darrynton Evans (MIA),32,121,3.8,13,0,1,7,12,49,7.0,0,0,6,23.0,3.8,0.2%
70,Dalvin Cook (NYJ),50,162,3.2,10,0,0,12,16,66,5.5,0,1,11,20.8,1.9,25.9%
71,D'Ernest Johnson (JAC),26,86,3.3,19,0,0,7,8,119,17.0,0,0,11,20.5,1.9,0.7%
72,Kendre Miller (NO),28,83,3.0,10,0,0,9,10,111,12.3,0,0,7,19.4,2.8,3.8%
73,Kyle Juszczyk (SF),5,6,1.2,3,0,0,8,10,65,8.1,2,0,11,19.1,1.7,0.3%
74,Nick Chubb (CLE),28,170,6.1,20,1,0,4,4,21,5.3,0,0,2,19.1,9.6,22.6%
75,Tank Bigsby (JAC),36,86,2.4,9,0,2,1,4,6,6.0,0,2,11,17.2,1.6,6.4%
76,Damien Harris (BUF),23,94,4.1,11,0,1,2,2,16,8.0,0,0,6,17.0,2.8,7.4%
77,Jamaal Williams (NO),47,137,2.9,11,0,0,8,9,28,3.5,0,0,7,16.5,2.4,20.4%
78,Jeff Wilson Jr. (MIA),18,85,4.7,14,0,0,9,10,67,7.4,0,0,4,15.2,3.8,22.1%
79,Cordarrelle Patterson (ATL),25,119,4.8,18,0,0,5,5,23,4.6,0,0,8,14.2,1.8,1.8%
80,Michael Carter (ARI),12,57,4.8,9,0,0,19,24,83,4.4,0,0,10,14.0,1.4,1.6%
81,Ty Johnson (BUF),10,32,3.2,13,0,0,3,3,47,15.7,1,0,5,13.9,2.8,0.3%
82,Elijah Mitchell (SF),41,136,3.3,18,0,0,4,6,-1,-0.3,0,0,8,13.5,1.7,17.2%
83,Ameer Abdullah (LV),5,30,6.0,11,0,0,12,17,85,7.1,0,0,12,11.5,1.0,0.5%
84,Chris Rodriguez Jr. (WAS),24,125,5.2,16,0,0,1,1,5,5.0,0,1,8,11.0,1.4,0.8%
85,Emanuel Wilson (GB),14,85,6.1,31,2,0,4,5,23,5.8,0,0,7,10.8,1.5,0.1%
86,Keaontay Ingram (ARI),35,74,2.1,14,0,0,4,4,26,6.5,0,0,7,10.0,1.4,3.0%
87,Melvin Gordon III (BAL),13,53,4.1,22,1,0,3,3,46,15.3,0,0,2,9.9,5.0,0.1%
88,J.K. Dobbins (BAL),8,22,2.8,4,0,1,2,3,15,7.5,0,0,1,9.7,9.7,16.6%
89,Chris Brooks (MIA),15,94,6.3,52,5,0,0,0,0,0,0,0,3,9.4,3.1,0.1%
90,Boston Scott (PHI),12,67,5.6,18,0,0,3,4,25,8.3,0,0,7,9.2,1.3,0.2%
91,Hunter Luepke (DAL),3,13,4.3,9,0,1,2,3,10,5.0,0,0,10,8.3,0.8,0.0%
92,Alec Ingold (MIA),2,0,0.0,0,0,0,8,10,79,9.9,0,0,10,7.9,0.8,0.1%
93,Ronnie Rivers (LAR),13,57,4.4,9,0,0,4,4,18,4.5,0,0,6,7.5,1.3,0.3%
94,Patrick Taylor Jr. (GB),14,42,3.0,10,0,0,6,11,32,5.3,0,0,5,7.4,1.5,0.7%
95,Nick Bawden (NYJ),1,1,1.0,1,0,1,2,2,13,6.5,0,0,11,7.4,0.7,0.0%
96,Chase Edmonds (TB),19,48,2.5,14,0,0,5,7,24,4.8,0,0,7,7.2,1.0,2.4%
97,Raheem Blackshear (CAR),11,30,2.7,9,0,0,5,5,41,8.2,0,0,5,7.1,1.4,0.4%
98,Trayveon Williams (CIN),12,59,4.9,15,0,0,5,7,9,1.8,0,0,11,6.8,0.6,0.7%
99,Deuce Vaughn (DAL),21,38,1.8,13,0,0,6,6,30,5.0,0,0,6,6.8,1.1,1.2%
100,Gary Brightwell (NYG),9,19,2.1,5,0,0,5,7,47,9.4,0,0,4,6.6,1.7,0.3%
101,Zamir White (LV),18,46,2.6,11,0,0,6,6,38,6.3,0,1,10,6.4,0.6,1.3%
102,Mike Boone (HOU),5,23,4.6,11,0,0,7,9,40,5.7,0,0,9,6.3,0.7,1.0%
103,Damien Williams (FA),11,43,3.9,9,0,0,2,2,12,6.0,0,0,3,5.5,1.8,0.1%
104,Patrick Ricard (BAL),0,0,0,0,0,0,4,5,48,12.0,0,0,11,4.8,0.4,0.1%
105,Isaiah Spiller (LAC),12,27,2.3,6,0,0,3,3,20,6.7,0,0,5,4.7,0.9,0.3%
106,Ke'Shawn Vaughn (TB),24,42,1.8,9,0,0,2,5,2,1.0,0,0,5,4.4,0.9,0.3%
