1,Travis Kelce (KC),70,88,732,10.5,53,11,5,0,0,0,1,10,101.2,10.1,100.0%
2,George Kittle (SF),46,61,667,14.5,66,17,5,1,2,0,0,11,96.9,8.8,99.5%
3,T.J. Hockenson (MIN),75,102,736,9.8,29,11,4,0,0,0,1,11,95.6,8.7,99.9%
4,Mark Andrews (BAL),45,61,544,12.1,38,11,6,1,0,0,0,10,90.4,9.0,69.0%
5,Sam LaPorta (DET),55,77,539,9.8,45,10,5,0,0,0,0,11,87.9,8.0,96.3%
6,Taysom Hill (NO),24,31,214,8.9,36,2,1,57,287,3,1,11,79.0,7.2,66.1%
7,Cole Kmet (CHI),49,61,439,9.0,23,3,5,3,2,0,0,11,74.1,6.7,86.1%
8,Dalton Schultz (HOU),40,61,455,11.4,31,8,5,0,0,0,1,11,73.5,6.7,90.5%
9,Jake Ferguson (DAL),40,58,421,10.5,40,8,4,0,0,0,0,11,66.1,6.0,83.5%
10,David Njoku (CLE),51,78,492,9.6,41,6,2,0,0,0,1,11,59.2,5.4,87.4%
11,Trey McBride (ARI),48,65,521,10.9,33,7,1,0,0,0,0,12,58.1,4.8,78.6%
12,Dalton Kincaid (BUF),56,64,474,8.5,22,2,2,0,0,0,1,11,57.4,5.2,94.2%
13,Logan Thomas (WAS),45,62,424,9.4,29,3,3,1,2,0,2,11,56.6,5.1,61.2%
14,Dallas Goedert (PHI),38,52,410,10.8,49,6,2,0,0,0,0,9,53.0,5.9,79.2%
15,Cade Otton (TB),38,50,348,9.2,27,3,3,0,0,0,1,11,52.8,4.8,29.2%
16,Jonnu Smith (ATL),35,45,423,12.1,60,7,2,1,0,0,1,11,52.3,4.8,27.6%
17,Evan Engram (JAC),64,82,524,8.2,34,6,0,0,0,0,1,11,50.4,4.6,93.5%
18,Kyle Pitts (ATL),37,60,441,11.9,39,6,1,1,-4,0,0,11,49.7,4.5,83.9%
19,Hunter Henry (NE),30,45,298,9.9,21,1,3,0,0,0,0,10,47.8,4.8,23.0%
20,Tyler Higbee (LAR),32,51,332,10.4,33,6,2,0,0,0,0,11,45.2,4.1,40.3%
21,Darren Waller (NYG),36,51,384,10.7,27,5,1,0,0,0,0,8,44.4,5.6,63.9%
